County,2020 Votes D,2020 Votes R
Apache,22730,11240
Cochise,22997,33580
Coconino,44609,27043
Gila,8943,18377
Graham,4034,10747
Greenlee,1182,2433
La Paz,2236,5129
Maricopa,1032538,986672
Mohave,24831,78534
Navajo,23383,27657
Pima,298400,200799
Pinal,75093,106966
Santa Cruz,13138,6194
Yavapai,49516,91242
Yuma,31562,35766
